,PM2,PM10,SO2,NO2,CO,O3,U,V,TEMP,RH,PSFC,lat,lon,province
36,22.62,25.95,9.75,4.95,0.31,60.52,-3.46,-3.1,290.51,69.45,100804.82,18.89,108.71,海南省
37,23.28,26.57,9.31,4.55,0.3,61.2,-3.26,-1.05,290.36,71.42,99259.04,18.89,108.85,海南省
38,24.85,28.17,8.99,4.59,0.3,60.1,-4.07,-0.75,289.47,73.59,97482.77,18.88,108.99,海南省
39,27.36,30.71,8.77,4.6,0.29,59.49,-4.46,-1.8,287.41,81.37,94850.05,18.88,109.13,海南省
40,29.38,33.09,9.37,5.05,0.3,59.88,-3.88,-3.66,286.85,84.11,95400.12,18.87,109.27,海南省
41,30.56,34.59,9.94,5.64,0.3,59.43,-3.86,-3.45,287.33,82.63,96281.81,18.87,109.41,海南省
42,32.68,36.8,10.5,6.22,0.3,59.64,-3.96,-2.76,285.94,88.63,94037.27,18.86,109.55,海南省
43,35.49,40.05,10.74,6.78,0.31,58.79,-2.7,-3.21,284.89,93.66,93339.05,18.86,109.69,海南省
44,36.87,42.45,10.93,7.95,0.31,55.23,-0.89,-4.14,285.76,90.42,95414.63,18.85,109.83,海南省
45,36.79,42.98,11.4,9.26,0.32,53.55,-0.07,-5.29,287.2,84.92,97583.62,18.84,109.97,海南省
46,36.45,43.1,11.92,10.44,0.33,52.83,-0.17,-5.78,287.98,82.82,98664.47,18.84,110.11,海南省
47,37.62,44.74,12.86,12.5,0.34,51.52,0.3,-6.11,288.59,82.53,99527.02,18.83,110.25,海南省
48,35,41.75,12.91,12.45,0.34,51.57,1.1,-7.05,289.09,80.47,101075.09,18.82,110.39,海南省
49,22.91,26.29,10.76,5.66,0.31,61.16,-4.06,-4.38,290.14,69.4,101409.19,19.02,108.71,海南省
50,23.24,26.48,10.49,5.25,0.31,62.12,-3.88,-2.47,290.84,69.3,101088.48,19.02,108.85,海南省
51,25.36,28.73,10.1,5.25,0.31,59.85,-5.12,-1.45,289.98,71.08,99094.45,19.01,108.99,海南省
52,29.57,33.02,10.16,5.3,0.3,59.75,-5.54,-0.89,286.97,82.69,95017.28,19.01,109.13,海南省
53,33.49,37.89,9.89,5.69,0.31,56.67,-4.85,-2.25,285.06,91.03,93727.83,19,109.27,海南省
54,34.41,39.34,10.26,6.28,0.31,56.87,-4.27,-2.58,285.5,89.72,94869.36,19,109.41,海南省
55,35.98,41.4,10.55,6.97,0.31,56.47,-3.89,-1.91,285.33,90.61,94844.22,18.99,109.55,海南省
56,37.8,43.75,10.88,7.95,0.31,55.6,-2.54,-2.03,285.17,91.37,94978.26,18.99,109.69,海南省
57,38.53,45.04,11.75,9.32,0.32,56.19,-1.05,-2.84,286,88.2,96191.09,18.98,109.83,海南省
58,39.55,46.8,11.89,10.93,0.33,53.24,-0.13,-3.95,286.84,85.69,97405.88,18.98,109.97,海南省
59,39.01,46.78,12.26,12.56,0.33,51.82,0.3,-4.43,287.83,83.33,98789.96,18.97,110.11,海南省
60,39.57,47.83,13.18,15.09,0.34,50.5,0.6,-4.58,288.51,81.48,100040.66,18.96,110.25,海南省
61,37.48,45.75,13.21,15.21,0.35,50.33,1.07,-5.13,289.15,81.58,101153.59,18.96,110.39,海南省
62,23.28,26.73,11.26,5.96,0.31,62.4,-5.4,-4.77,289.85,69.45,101489.48,19.16,108.72,海南省
63,23.91,27.15,11.36,5.78,0.31,63.26,-4.88,-3.55,290.25,70.53,101098.74,19.15,108.86,海南省
64,26.27,29.76,11.22,5.82,0.31,62.24,-6.08,-2.4,289.35,73.02,99518.38,19.15,109,海南省
65,30.51,34.6,10.87,6.03,0.31,59.42,-6.42,-1.27,287.05,81.93,96583.15,19.14,109.14,海南省
66,32.68,37.01,11.2,6.43,0.31,59.9,-4.68,-0.72,285.83,87.08,95489.88,19.14,109.28,海南省
67,34.49,39.97,11.35,7.2,0.31,58.9,-3.22,-0.8,286.18,86.08,96473.4,19.13,109.42,海南省
68,36.1,42.28,11.5,8.16,0.31,57.92,-3.03,-1.04,286.46,85.37,96909.73,19.13,109.56,海南省
69,38.72,45.64,11.51,9.54,0.32,55.77,-2.44,-1.39,286.35,86.23,96941.3,19.12,109.7,海南省
70,40.68,48.42,12,11.41,0.33,54.58,-1.12,-1.8,286.77,84.82,97691.17,19.11,109.84,海南省
71,41.05,49.53,12.61,13.4,0.33,53.6,0.01,-2.57,287.32,83.6,98346.87,19.11,109.98,海南省
72,40.51,49.6,12.92,15.13,0.34,52.1,0.5,-3.51,288.11,81.78,99413.88,19.1,110.12,海南省
73,39.47,48.83,13.57,17.53,0.35,51.55,0.46,-4.01,289.06,79.42,100874.47,19.1,110.26,海南省
74,37.4,46.83,13.12,17.7,0.35,50.09,0.49,-4.44,289.49,80.03,101589.63,19.09,110.4,海南省
75,29.46,36.97,12.51,12.98,0.33,57.81,0.12,-5.45,290.1,81.26,101808.73,19.08,110.54,海南省
76,23.92,27.69,11.18,6.01,0.31,64.06,-6.58,-4.43,289.8,70.22,101595.34,19.29,108.72,海南省
77,25.37,29.1,11.55,6.54,0.32,61.67,-5.79,-3.74,289.75,70.8,101343.58,19.28,108.86,海南省
78,27.39,31.03,11.91,6.87,0.32,62.34,-5.79,-2.51,289.14,73.64,100156.81,19.28,109,海南省
79,31.05,35.43,11.81,7.24,0.32,60.61,-5.4,-1.32,287.7,79.23,98386.96,19.27,109.14,海南省
80,33.73,39.13,11.75,7.84,0.32,58.93,-4.17,-0.25,287.22,81.74,98133.8,19.27,109.28,海南省
81,35.65,42.02,11.96,8.84,0.32,58.14,-3.19,-0.43,287.36,81.62,98563.39,19.26,109.43,海南省
82,37.25,44.43,12.22,10.06,0.32,57.68,-2.6,-1.01,287.35,82.05,98526.13,19.26,109.57,海南省
83,38.65,46.68,12.58,11.87,0.33,57.21,-1.72,-1.05,287.52,81.94,98823.52,19.25,109.71,海南省
84,40.53,49.73,13.05,14.18,0.33,55.74,-0.76,-1.43,287.79,81.37,99440.04,19.25,109.85,海南省
85,41.4,51.72,13.61,16.44,0.34,53.95,-0.32,-2.17,287.98,81.54,99551.2,19.24,109.99,海南省
86,41.79,53.01,13.7,18.18,0.34,52.11,-0.22,-3.44,288.18,81.55,99653.45,19.23,110.13,海南省
87,40.85,52.52,13.57,19.76,0.35,51.24,-0.12,-4.19,288.87,80.06,100488.45,19.23,110.27,海南省
88,36.57,47.98,13.25,19.65,0.34,51.75,-0.3,-4.49,289.8,79.06,101434.09,19.22,110.41,海南省
89,30.72,40.45,12.38,15.14,0.33,55.76,-0.87,-5.37,290.56,79.94,101792.58,19.21,110.55,海南省
90,26.65,30.77,11.53,7.06,0.32,61.83,-6.37,-3.24,289.49,71.29,101434.12,19.42,108.87,海南省
91,29.7,33.89,12.08,8.23,0.33,60.2,-5.39,-2.19,289.25,73.3,100997.65,19.41,109.01,海南省
92,32.92,38.2,12.09,9.05,0.33,58.41,-4.77,-1.15,288.75,75.38,100509.42,19.41,109.15,海南省
93,35.46,41.69,12.13,9.84,0.33,57.42,-4.04,-0.5,288.31,77.71,100006.66,19.4,109.29,海南省
94,38.28,45.62,12.42,11.36,0.33,56.3,-3.47,-0.79,287.92,79.92,99541.69,19.4,109.43,海南省
95,40.12,48.64,12.5,13.02,0.34,54.59,-2.68,-1.21,287.86,80.8,99620.3,19.39,109.57,海南省
96,40.49,50.18,13.07,15.09,0.34,55.25,-1.78,-1.22,288.06,80.77,100014.55,19.38,109.71,海南省
97,41.89,53.16,13.28,17.19,0.34,54.02,-1.3,-1.75,288.1,81.09,100042.33,19.38,109.85,海南省
98,42.84,55.71,14.11,19.71,0.35,52.33,-1.1,-2.47,288.29,80.85,99991.08,19.37,109.99,海南省
99,43.69,57.86,13.95,21.21,0.35,49.9,-0.97,-3.46,288.48,80.52,100086.98,19.37,110.13,海南省
100,41.64,56,13.23,21.39,0.35,50.55,-0.83,-4.06,288.8,80.47,100404.78,19.36,110.27,海南省
101,36.96,50.67,12.97,20.61,0.34,52.1,-1,-4.51,289.67,79.17,100906.89,19.35,110.41,海南省
102,31.59,43.16,12.82,17.01,0.33,55.76,-1.42,-5.32,290.33,79.14,101323.8,19.35,110.55,海南省
103,29.84,34.8,11.04,7.41,0.32,60.89,-6.03,-1.94,289.26,72.86,101434.74,19.54,109.01,海南省
104,33.82,39.69,11.64,9.34,0.33,57.82,-4.81,-1.54,289.2,74.23,101267.86,19.54,109.16,海南省
105,36.59,43.42,12.41,11.49,0.34,56.24,-3.91,-0.82,288.84,75.42,101025.22,19.53,109.3,海南省
106,39.57,47.81,12.8,13.86,0.34,54.56,-3.48,-1.17,288.55,77.97,100571.96,19.53,109.44,海南省
107,41.54,51.4,13.16,16.25,0.35,52.83,-3.07,-1.65,288.31,79.35,100234.33,19.52,109.58,海南省
108,41.32,52.81,13.4,18.08,0.34,53.55,-2.32,-1.83,288.3,80.55,100236.94,19.52,109.72,海南省
109,41.71,55.24,13.72,19.99,0.34,53.16,-1.79,-2.24,288.46,80.53,100444.96,19.51,109.86,海南省
110,43.45,59.15,14.81,23.01,0.35,51.02,-1.52,-2.69,288.57,80.73,100518.23,19.51,110,海南省
111,43.79,60.88,14.8,23.96,0.35,49.97,-1.42,-3.27,288.85,79.91,100608.16,19.5,110.14,海南省
112,42.33,59.72,12.81,22.73,0.35,49.3,-1.55,-3.87,289.13,79.49,100842.3,19.49,110.28,海南省
113,38.27,54.81,12.73,21.74,0.34,51.29,-1.77,-4.36,289.62,79.24,100760.45,19.49,110.42,海南省
114,34.01,48.59,12.73,19.32,0.33,53.34,-1.69,-4.8,289.93,80.03,100861.96,19.48,110.56,海南省
115,30.45,41.99,13.48,16.38,0.32,57.06,-1.73,-5.69,290.56,80.23,101511.91,19.47,110.7,海南省
116,35.96,43.2,11.53,11.92,0.34,55.12,-4.56,-0.94,289.17,73.01,101585.06,19.67,109.3,海南省
117,38.38,47.28,12.13,14.77,0.34,54.11,-4,-1.69,289.22,75.02,101165.54,19.66,109.44,海南省
118,40.23,51.09,12.88,17.54,0.34,53.04,-3.67,-1.98,288.78,77.08,100588.88,19.66,109.58,海南省
119,40.34,53.41,12.85,18.99,0.34,53.17,-3.15,-2.34,288.71,78.61,100476.19,19.65,109.72,海南省
120,40.86,56.33,13.4,21.14,0.34,52.66,-2.66,-2.64,288.86,78.91,100695.9,19.64,109.87,海南省
121,43.01,60.91,14.77,24.58,0.35,50.51,-2.27,-2.99,288.97,79.59,100857.84,19.64,110.01,海南省
122,43.92,63.35,14.69,25.28,0.35,49.53,-2.04,-3.25,289.19,79.35,101003.88,19.63,110.15,海南省
123,42.18,61.74,12.76,23.4,0.35,50.04,-2.22,-3.6,289.57,78.82,101157.98,19.62,110.29,海南省
124,39.42,58.35,12.29,22.2,0.34,50.34,-2.59,-4.16,289.89,78.28,101040.64,19.62,110.43,海南省
125,35.86,53.44,12.3,20.77,0.33,51.78,-2.47,-4.63,290.05,79.11,101002.72,19.61,110.57,海南省
126,33.47,48.96,13.38,20.32,0.33,53.62,-2.17,-4.97,290.52,80.09,101464.06,19.6,110.71,海南省
127,31.04,44.67,13.19,17.69,0.32,56.03,-2.77,-6.59,291.28,79.57,101786.54,19.6,110.85,海南省
128,29.45,35.66,11.05,8.84,0.32,63.31,-4.88,-1.62,289.85,71.72,101806.84,19.8,109.31,海南省
129,32.36,40.63,11.64,12.21,0.33,60.57,-4.25,-2.27,289.9,72.33,101441.27,19.79,109.45,海南省
130,35.07,45.77,12.47,15.76,0.33,58.23,-3.76,-2.1,289.33,74.42,100929.3,19.79,109.59,海南省
131,36.44,50,12.45,17.94,0.33,56.41,-3.44,-2.62,289.27,75.9,100833.92,19.78,109.73,海南省
132,37.08,52.95,13.18,20.39,0.33,55.68,-3.1,-2.76,289.37,76.39,101004.5,19.78,109.87,海南省
133,39.49,57.73,14.4,24.14,0.34,53.48,-2.64,-3.04,289.4,77.73,101158.06,19.77,110.01,海南省
134,41.6,61.69,14.58,25.42,0.34,52.1,-2.41,-3.09,289.44,79.08,101232.59,19.76,110.15,海南省
135,41.38,62.04,13.17,23.97,0.34,52.22,-2.58,-3.19,289.69,79.47,101238.37,19.76,110.29,海南省
136,38.67,58.63,12.41,22.41,0.33,52.31,-3.09,-3.6,290.11,78.17,101250,19.75,110.44,海南省
137,35.4,53.91,12.08,20.29,0.33,53.06,-3.16,-4.18,290.34,77.65,101283.84,19.74,110.58,海南省
138,34.01,51.22,12.88,20.47,0.33,53.68,-2.93,-4.98,290.66,78.05,101490.38,19.74,110.72,海南省
139,32.12,47.54,13.03,18.78,0.32,55.25,-3.41,-6.11,291.32,78.41,101673.55,19.73,110.86,海南省
140,28.29,40.05,13.15,14.55,0.31,62.73,-4.25,-6.92,291.94,78.78,101764.54,19.72,111,海南省
141,29.57,38.71,11.72,11.84,0.32,62.54,-4.83,-2.9,290.27,70.84,101524.8,19.92,109.6,海南省
142,31,42.49,12.21,14.42,0.32,60.98,-4.33,-3.39,290.29,71.59,101433.76,19.92,109.74,海南省
143,31.88,45.17,13.15,17.33,0.32,60.31,-3.78,-3.5,290.25,72.47,101555.36,19.91,109.88,海南省
144,34.53,50.78,14.13,21.78,0.33,57.46,-3.25,-3.78,290.16,74.09,101565.66,19.9,110.02,海南省
145,37.58,56.63,14.73,24.73,0.33,55.27,-3.02,-3.47,289.87,77,101320.2,19.9,110.16,海南省
146,38.7,59.4,14.11,24.31,0.34,55.41,-3.09,-3.25,289.96,78.85,101231.88,19.89,110.3,海南省
147,36.87,56.63,13.03,22.41,0.33,55.8,-3.51,-3.4,290.42,77.95,101436.5,19.88,110.44,海南省
148,34.61,52.97,12.15,19.67,0.32,56.23,-3.89,-3.89,290.72,76.83,101570.71,19.88,110.58,海南省
149,34.49,52.05,12.25,19.34,0.32,53.54,-3.79,-4.69,290.66,77.22,101572.35,19.87,110.73,海南省
150,32.06,46.74,12.9,18.43,0.32,55.11,-3.78,-5.64,291.07,77.9,101642.76,19.86,110.87,海南省
151,33.68,51.19,14.01,21.71,0.33,56.93,-4.13,-4.61,290.55,72.85,101726.74,20.03,110.17,海南省
152,35.35,55.6,14.53,24.35,0.33,56.13,-4.3,-4.32,290.64,75.09,101646.27,20.02,110.31,海南省
153,33.93,52.67,13.27,21.77,0.32,57.49,-4.73,-4.34,291,75.45,101765.28,20.02,110.45,海南省
154,31.99,46.73,12.53,17.42,0.32,55.89,-4.58,-4.55,290.95,76.1,101766.1,20,110.73,海南省
155,35.47,47.97,12.36,17.5,0.35,51.88,-3.17,-5.04,288.86,58.43,101818.96,20.3,110.04,广东省
156,33.57,49.27,12.42,19.37,0.33,54.79,-3.07,-4.73,289.33,64.94,101559.73,20.3,110.18,广东省
157,31.72,47.66,12.88,19.32,0.32,57.33,-3.79,-4.85,289.98,67.87,101581.17,20.29,110.32,广东省
158,37.27,50.56,12.46,18.36,0.36,51.92,-3.16,-5.38,288.56,58.78,101366.33,20.43,110.05,广东省
159,33.83,48.93,11.68,17.66,0.33,56.03,-3.43,-4.59,289.02,65.72,100809.52,20.43,110.19,广东省
160,31.07,45.81,11.42,16.32,0.32,58.33,-3.94,-4.15,289.63,66.94,100994.75,20.42,110.33,广东省
161,28.73,41.27,11.89,14.31,0.31,60.39,-4.03,-4.62,290.21,67.31,101696.66,20.41,110.47,广东省
162,41.32,51.57,13.22,17.79,0.39,48.44,-3.08,-5.26,287.28,46.07,101425.09,20.57,109.91,广东省
163,39.57,52.15,13.19,18.97,0.37,51.53,-2.62,-5.29,287.61,54.7,100824.48,20.57,110.05,广东省
164,34.01,46.98,12.48,16.24,0.34,57.82,-2.85,-4.57,288.41,64.05,100518,20.56,110.2,广东省
165,29.56,41.99,12.02,13.89,0.32,61.82,-3.87,-4.01,289.77,65.48,101069.66,20.55,110.34,广东省
166,26.74,36.88,12.31,11.69,0.31,63.39,-4.39,-4.08,290.43,64.28,101782.17,20.55,110.48,广东省
167,43.15,51.41,13.26,15.98,0.41,47.65,-3.05,-4.8,286.48,32.87,101873.23,20.71,109.78,广东省
168,44.13,54.49,13.84,19.23,0.4,47.15,-2.63,-4.8,287.22,45.04,101481.27,20.71,109.92,广东省
169,41.87,53.39,14.21,20.06,0.38,50.32,-2.19,-4.91,287.44,49.24,101164.66,20.7,110.06,广东省
170,34.03,44.47,13.65,15.77,0.34,58.46,-2.5,-4.6,288.77,58.71,101220.44,20.69,110.2,广东省
171,44.59,52.6,13.41,15.88,0.42,47.4,-2.89,-4.38,286.68,33.34,101880.76,20.85,109.78,广东省
172,46.3,55.83,14.45,19.33,0.42,46.12,-2.4,-4.4,286.87,38.94,101769.03,20.84,109.92,广东省
173,43.57,53.48,15.55,20.43,0.4,48.7,-2.06,-4.73,287.44,43.18,101797,20.83,110.07,广东省
174,34.47,42.66,15.43,15.79,0.36,57.13,-2.32,-4.82,289.05,51.91,101882.62,20.83,110.21,广东省
175,45.23,52.65,13.3,14.92,0.42,47.48,-2.6,-4.25,286.35,32.35,101819.11,20.98,109.79,广东省
176,47.45,56.04,14.7,18.52,0.43,45.36,-2.25,-4.16,286.65,37.02,101781.28,20.97,109.93,广东省
177,45.59,54.36,16.58,20.59,0.42,46.56,-2.29,-4.53,286.92,37.29,101891.57,20.97,110.07,广东省
178,45.27,52.13,12.97,13.81,0.43,48.46,-2.63,-3.89,286.31,35.01,101797.95,21.11,109.79,广东省
179,48.01,55.77,14.35,17.31,0.45,44.84,-2.1,-4.06,286.35,35.66,101698.32,21.11,109.94,广东省
180,47.95,56.05,16.83,20.73,0.44,42.79,-2.13,-4.32,286.21,33.97,101698.46,21.1,110.08,广东省
181,45.25,53.31,21.12,23.7,0.43,42.58,-2.02,-4.64,286.27,31.24,101800.13,21.09,110.22,广东省
182,22.89,24.64,9.37,1.2,0.27,60.33,-0.79,0.1,284.81,86.88,91106.48,21.29,101.34,云南省
183,22.3,24.03,9.25,1.1,0.27,60.24,-2.43,1.3,284.47,87.38,89811.11,21.29,101.49,云南省
184,23.37,25.16,9.46,1.16,0.27,58.14,-3.31,0.77,282.52,93.32,88385.07,21.3,101.63,云南省
185,44.3,50.63,12.78,12.07,0.42,51.87,-2.82,-3.78,286.66,39.81,101891.79,21.25,109.8,广东省
186,48.34,55.42,13.79,15.6,0.45,45.96,-2,-3.85,285.96,35.36,101726.9,21.24,109.94,广东省
187,49.99,57.64,15.92,19.77,0.46,41.98,-1.84,-4.15,286.02,37.89,101597.31,21.23,110.09,广东省
188,49.41,57.5,21.22,25.2,0.46,38.56,-1.79,-3.95,286.06,35.28,101643.78,21.23,110.23,广东省
189,47.54,55.34,21.71,24.75,0.44,39.89,-1.48,-4.14,285.85,30.24,101844.67,21.22,110.37,广东省
190,42.04,48.54,17.18,16.83,0.4,48.6,-1.53,-4.41,286.49,32.86,101985.56,21.21,110.52,广东省
191,23.51,25.36,9.76,1.44,0.28,58.47,-0.93,-1.13,284.82,86.36,92860.27,21.42,101.2,云南省
192,23.02,24.93,10.02,1.65,0.28,59.07,-1.97,-0.43,285.72,80.78,93314.25,21.42,101.34,云南省
193,22.92,24.8,10.07,1.57,0.28,59.02,-3.81,0.26,284.36,84.51,90978.77,21.43,101.48,云南省
194,23.75,25.62,10.1,1.49,0.28,58.21,-3.93,0.49,282.18,92.2,89344.05,21.43,101.63,云南省
195,49.05,55.73,13.2,14.06,0.47,46.12,-2.18,-3.91,285.7,34.19,101801.18,21.37,109.95,广东省
196,50.4,57.34,14.65,17.64,0.47,42.6,-1.52,-4,285.78,35.22,101748.1,21.37,110.09,广东省
197,50.48,57.84,19.55,23.1,0.47,38.76,-1.53,-3.72,285.96,34.76,101796.54,21.36,110.24,广东省
198,50.75,58.27,21.28,25.09,0.46,38,-1.56,-3.58,286.18,35.44,101879.88,21.35,110.38,广东省
199,48.68,55.71,18.36,20.49,0.45,42.79,-1.61,-3.65,286.22,32.32,101934.38,21.35,110.52,广东省
200,42.93,49.31,17.88,17.07,0.41,47.12,-1.77,-4.01,286.37,32.15,101981.44,21.34,110.67,广东省
201,24.49,26.5,10.1,1.53,0.28,61.42,-3.26,1.37,285.73,90.74,90205.78,21.52,100.33,云南省
202,26.93,29.08,10.77,2.02,0.29,58.56,-2.62,-0.52,284.12,96.66,88422.7,21.52,100.47,云南省
203,27.75,30.03,11.34,2.25,0.3,56.87,-1.85,-2.43,284.19,93.86,90477.81,21.53,100.62,云南省
204,22.07,23.87,9.54,1.43,0.28,59.01,-3.74,-0.16,285.53,81.23,92913.65,21.56,101.33,云南省
205,22.6,24.4,9.61,1.3,0.28,58.89,-4.56,-0.53,283.4,87.63,90263.99,21.56,101.48,云南省
206,23,24.81,9.59,1.13,0.27,58.79,-3.77,-0.05,282.37,90.88,89958.62,21.56,101.62,云南省
207,45.96,52.76,17.68,10.07,0.47,50.54,-2.47,-3.88,282.03,44.06,95375.16,21.59,107.52,NULL
208,50.92,61.32,18.9,15.74,0.55,44.88,-2.9,-5.5,284.18,36.02,101320.16,21.58,107.95,广西壮族自治区
209,50.74,61.55,19.06,16.96,0.56,45.93,-3.11,-6.1,284.14,38.41,101566.43,21.57,108.09,广西壮族自治区
210,55.66,64.82,15.21,12.42,0.56,45.94,-2.03,-4.82,284.55,36.04,101886.55,21.54,109.24,广西壮族自治区
211,51.91,59.99,14.42,11.92,0.52,49.38,-1.8,-4.21,285.52,39.67,101880.52,21.53,109.38,广西壮族自治区
212,49.9,57.29,14.38,12.54,0.5,50.38,-2.81,-3.43,285.87,37.21,101978.06,21.52,109.53,广西壮族自治区
213,52.81,60.4,14.15,13.11,0.52,45.89,-2.74,-4.18,285,29.62,101979.2,21.52,109.67,广西壮族自治区
214,52.17,59.34,13.24,12.68,0.52,45.94,-2.22,-4.42,285.3,35.05,101863.13,21.51,109.81,广东省
215,50.79,57.54,12.87,13.34,0.5,45.3,-1.99,-4.25,285.54,37.11,101779.46,21.51,109.96,广东省
216,49.22,55.66,13.07,14.87,0.46,44.32,-1.48,-4.1,285.65,35.91,101844.97,21.5,110.1,广东省
217,48.98,55.56,15.76,17.87,0.46,42.26,-1.25,-3.71,285.83,34.5,101868.41,21.49,110.24,广东省
218,50.02,56.8,17.6,20.18,0.46,41.14,-1.23,-3.41,285.82,33.51,101811.59,21.49,110.39,广东省
219,51.37,58.33,17.84,20.65,0.47,41.18,-1.37,-3.1,285.86,33.42,101838.08,21.48,110.53,广东省
220,47.53,54.3,19.64,20.65,0.45,40.95,-1.5,-2.92,285.88,32.14,101909.62,21.47,110.67,广东省
221,41.93,48.12,19.87,18.8,0.41,42.4,-1.71,-3.02,285.87,29.78,101916.45,21.47,110.82,广东省
222,37.18,42.59,17.3,14.19,0.38,48.21,-2.83,-3.26,286.72,35.42,101913.16,21.46,110.96,广东省
223,34.48,40.01,16.66,12.47,0.38,52.45,-4.95,-5.17,287.11,42.93,101815.37,21.44,111.25,中华人民共和国
224,25.16,27.16,10.21,1.59,0.28,60.49,-1.77,2.41,285.33,95.05,89899.1,21.65,100.18,云南省
225,25.52,27.59,10.12,1.67,0.28,60.51,-1.98,3.54,284.73,95.39,87579.74,21.65,100.32,云南省
226,28.87,31.18,11.26,2.28,0.3,58.12,-1.36,2.59,283,99.99,85423.09,21.66,100.47,云南省
227,31.54,34.23,12.8,3.19,0.32,53.78,-0.9,-0.05,282.88,99.23,87363.29,21.66,100.61,云南省
